Lawrence;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54],[99]]
Lawson;[[2,7],[10,11],[15,17]]
Lawton;[[4,7]]
Lay;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
Layton;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
Lazar;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
Lazare;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
Lazaro;[[4,9],[10,15],[20,23]]
Lazarus;[[1,2],[7,8],[10,12]]
Lazlo;[[1,2]]
Lee;[[1,2],[7,8],[10,12],[99,99],[100,100]]
Lefty;[[1],[3],[6,6],[7,8],[10,12],[99,99],[100,100]]
Leif;[[1,1],[3],[6,6],[7,8],[10,12],[99,99],[100]]
Leigh;[[0],[1],[2],[3],[4],[5],[6],[7]]
Leighton;[[0,100]]
Leland;[[0,4],[8,11],[15,17],[18,24]]
Lem;[[3,5],[15,20]]
Lemar;[[5,9],[11,15]]
Lemmie;[[4,15]]
Lemmy;[[3,8],[9,15]]
Lemuel;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54],[99]]
Len;[[2,7],[10,11],[15,17]]
Lenard;[[4,7]]
Lennie;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
Lenny;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
Leo;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
Leon;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
Leonard;[[4,9],[10,15],[20,23]]
Leonardo;[[1,2],[7,8],[10,12]]
Leonerd;[[1,2]]
Leonhard;[[1,2],[7,8],[10,12],[99,99],[100,100]]
Leonid;[[1],[3],[6,6],[7,8],[10,12],[99,99],[100,100]]
Leonidas;[[1,1],[3],[6,6],[7,8],[10,12],[99,99],[100]]
Leopold;[[0],[1],[2],[3],[4],[5],[6],[7]]
Leroy;[[0,100]]
Les;[[0,4],[8,11],[15,17],[18,24]]
Lesley;[[3,5],[15,20]]
Leslie;[[5,9],[11,15]]
Lester;[[4,15]]
Lev;[[3,8],[9,15]]
Levi;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54],[99]]
Levin;[[2,7],[10,11],[15,17]]
Levon;[[4,7]]
Levy;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
Lew;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
Lewis;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
Lex;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
Liam;[[4,9],[10,15],[20,23]]
Lin;[[1,2],[7,8],[10,12]]
Lincoln;[[1,2]]
Lind;[[1,2],[7,8],[10,12],[99,99],[100,100]]
Lindsay;[[1],[3],[6,6],[7,8],[10,12],[99,99],[100,100]]
Lindsey;[[1,1],[3],[6,6],[7,8],[10,12],[99,99],[100]]
Lindy;[[0],[1],[2],[3],[4],[5],[6],[7]]
Linoel;[[0,100]]
Linus;[[0,4],[8,11],[15,17],[18,24]]
Lion;[[3,5],[15,20]]
Lionel;[[5,9],[11,15]]
Lionello;[[4,15]]
Llewellyn;[[3,8],[9,15]]
Lloyd;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54],[99]]
Locke;[[2,7],[10,11],[15,17]]
Lockwood;[[4,7]]
Logan;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
Lon;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
Lonnie;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
Lonny;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
Loren;[[4,9],[10,15],[20,23]]
Lorenzo;[[1,2],[7,8],[10,12]]
Lorne;[[1,2]]
Lorrie;[[1,2],[7,8],[10,12],[99,99],[100,100]]
Lothar;[[1],[3],[6,6],[7,8],[10,12],[99,99],[100,100]]
Lou;[[1,1],[3],[6,6],[7,8],[10,12],[99,99],[100]]
Louie;[[0],[1],[2],[3],[4],[5],[6],[7]]
Louis;[[0,100]]
Lovell;[[0,4],[8,11],[15,17],[18,24]]
Lowell;[[3,5],[15,20]]
Lucas;[[5,9],[11,15]]
Luce;[[4,15]]
Lucian;[[3,8],[9,15]]
Luciano;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54],[99]]
Lucien;[[2,7],[10,11],[15,17]]
Lucio;[[4,7]]
Lucius;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
Ludvig;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
Ludwig;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
Luigi;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
Luis;[[4,9],[10,15],[20,23]]
Lukas;[[1,2],[7,8],[10,12]]
Luke;[[1,2]]
Luther;[[1,2],[7,8],[10,12],[99,99],[100,100]]
Lyle;[[1],[3],[6,6],[7,8],[10,12],[99,99],[100,100]]
Lyn;[[1,1],[3],[6,6],[7,8],[10,12],[99,99],[100]]
Lyndon;[[0],[1],[2],[3],[4],[5],[6],[7]]
