Aamir;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Aaron;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Abbey;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Abbie;[[3,4],[8,11],[16,18],[21,26]]
Abbot;[[0,0],[3,7],[99,100]]
Abbott;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Abby;[[2,4]]
Abdel;[[4,8],[11,12],[13,17],[20,22]]
Abdul;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Abdulkarim;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Abdullah;[[1,6],[9,14]]
Abe;[[1,1],[8,12]]
Abel;[[1],[9],[13],[19]]
Abelard;[[9,12],[2,6],[99,100],[26,29]]
Abner;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Abraham;[[1,2],[7,10]]
Abram;[[6,7],[10,12],[14,15]]
Ace;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Adair;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Adam;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Adams;[[3,4],[8,11],[16,18],[21,26]]
Addie;[[0,0],[3,7],[99,100]]
Adger;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Aditya;[[2,4]]
Adlai;[[4,8],[11,12],[13,17],[20,22]]
Adnan;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Adolf;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Adolfo;[[1,6],[9,14]]
Adolph;[[1,1],[8,12]]
Adolphe;[[1],[9],[13],[19]]
Adolpho;[[9,12],[2,6],[99,100],[26,29]]
Adolphus;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Adrian;[[1,2],[7,10]]
Adrick;[[6,7],[10,12],[14,15]]
Adrien;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Agamemnon;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Aguinaldo;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Aguste;[[3,4],[8,11],[16,18],[21,26]]
Agustin;[[0,0],[3,7],[99,100]]
Aharon;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Ahmad;[[2,4]]
Ahmed;[[4,8],[11,12],[13,17],[20,22]]
Ahmet;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Ajai;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Ajay;[[1,6],[9,14]]
Al;[[1,1],[8,12]]
Alaa;[[1],[9],[13],[19]]
Alain;[[9,12],[2,6],[99,100],[26,29]]
Alan;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Alasdair;[[1,2],[7,10]]
Alastair;[[6,7],[10,12],[14,15]]
Albatros;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Albert;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Alberto;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Albrecht;[[3,4],[8,11],[16,18],[21,26]]
Alden;[[0,0],[3,7],[99,100]]
Aldis;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Aldo;[[2,4]]
Aldric;[[4,8],[11,12],[13,17],[20,22]]
Aldrich;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Aldus;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Aldwin;[[1,6],[9,14]]
Alec;[[1,1],[8,12]]
Aleck;[[1],[9],[13],[19]]
Alejandro;[[9,12],[2,6],[99,100],[26,29]]
Aleks;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Aleksandrs;[[1,2],[7,10]]
Alessandro;[[6,7],[10,12],[14,15]]
Alex;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Alexander;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Alexei;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Alexis;[[3,4],[8,11],[16,18],[21,26]]
Alf;[[0,0],[3,7],[99,100]]
Alfie;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Alfonse;[[2,4]]
Alfonso;[[4,8],[11,12],[13,17],[20,22]]
Alfonzo;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Alford;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Alfred;[[1,6],[9,14]]
Alfredo;[[1,1],[8,12]]
Algernon;[[1],[9],[13],[19]]
Ali;[[9,12],[2,6],[99,100],[26,29]]
Alic;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Alister;[[1,2],[7,10]]
Alix;[[6,7],[10,12],[14,15]]
Allah;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Allan;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Allen;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Alley;[[3,4],[8,11],[16,18],[21,26]]
Allie;[[0,0],[3,7],[99,100]]
Allin;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Allyn;[[2,4]]
Alonso;[[4,8],[11,12],[13,17],[20,22]]
Alonzo;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Aloysius;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Alphonse;[[1,6],[9,14]]
Alphonso;[[1,1],[8,12]]
Alston;[[1],[9],[13],[19]]
Alton;[[9,12],[2,6],[99,100],[26,29]]
Alvin;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Alwin;[[1,2],[7,10]]
Amadeus;[[6,7],[10,12],[14,15]]
Ambros;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Ambrose;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Ambrosi;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Ambrosio;[[3,4],[8,11],[16,18],[21,26]]
Ambrosius;[[0,0],[3,7],[99,100]]
Amery;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Amory;[[2,4]]
Amos;[[4,8],[11,12],[13,17],[20,22]]
Anatol;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Anatole;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Anatollo;[[1,6],[9,14]]
Anatoly;[[1,1],[8,12]]
Anders;[[1],[9],[13],[19]]
Andie;[[9,12],[2,6],[99,100],[26,29]]
Andonis;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Andre;[[1,2],[7,10]]
Andrea;[[6,7],[10,12],[14,15]]
Andreas;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Andrej;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Andres;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Andrew;[[3,4],[8,11],[16,18],[21,26]]
Andrey;[[0,0],[3,7],[99,100]]
Andri;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Andros;[[2,4]]
Andrus;[[4,8],[11,12],[13,17],[20,22]]
Andrzej;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Andy;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Angel;[[1,6],[9,14]]
Angelico;[[1,1],[8,12]]
Angelo;[[1],[9],[13],[19]]
Angie;[[9,12],[2,6],[99,100],[26,29]]
Angus;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Ansel;[[1,2],[7,10]]
Ansell;[[6,7],[10,12],[14,15]]
Anselm;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Anson;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Anthony;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Antin;[[3,4],[8,11],[16,18],[21,26]]
Antoine;[[0,0],[3,7],[99,100]]
Anton;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
Antone;[[2,4]]
Antoni;[[4,8],[11,12],[13,17],[20,22]]
Antonin;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
Antonino;[[5,5],[8,12],[13,18],[19,23],[27,30]]
Antonio;[[1,6],[9,14]]
Antonius;[[1,1],[8,12]]
Antony;[[1],[9],[13],[19]]
Anurag;[[9,12],[2,6],[99,100],[26,29]]
Apollo;[[1,3],[5,10],[12,16],[17,18],[21,23]]
Apostolos;[[1,2],[7,10]]
Aram;[[6,7],[10,12],[14,15]]
Archibald;[[5,6],[11,12],[15,18],[21,22],[37],[24,29],[30,35],[39,42],[100]]
Archibold;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
Archie;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
Archon;[[3,4],[8,11],[16,18],[21,26]]
