khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
zecchinos;[[3,4],[8,11],[16,18],[21,26]]
addison;[[0,0],[3,7],[99,100]]
theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
callie;[[2,4]]
zein;[[4,8],[11,12],[13,17],[20,22]]
graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
jameson;[[5,5],[8,12],[13,18],[19,23],[27,30]]
mama;[[1,6],[9,14]]
lala;[[1,1],[8,12]]
papa;[[1],[9],[13],[19]]
tati;[[9,12],[2,6],[99,100],[26,29]]


kinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zemindars;[[2,7],[10,11],[15,17]]
zeugmas;[[4,7]]
lilith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
cole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
luis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
maya;[[4,9],[10,15],[20,23]]
ava;[[1,2],[7,8],[10,12]]
silas;[[1,2]]
uto;[[1,2],[7,8],[10,12],[99,99],[100,100]]
